scheme,held_out_run,eval,name,kind,source_run,label,n_params,elpd_loo,elpd_se,elpd_rank,elpd_diff,elpd_dse,stacking_weight,loo_unreliable,n_eval,rmse,brier,accuracy,r2_trial,r2_stimulus,logpd,pseudo_r2_deviance
mega,,in_sample,seed_prototype_similarity,seed,,Prototype similarity,4,-7365.1526498417425,34.3337768689351,5,212.89016318621032,18.508379649738725,0.0,False,11520,0.47274478035929596,0.22348762735695898,0.6403645833333333,0.10603397032859341,0.5127929078186413,-7361.014540345076,0.07813956857643178
mega,,in_sample,seed_encoding_compressibility,seed,,Encoding compressibility,4,-7661.336487710262,25.39025344112411,7,509.0740010547299,31.838981929950045,0.0,False,11520,0.48567256060594305,0.23587783612553342,0.6049479166666667,0.056472274808192835,0.31561883056442297,-7659.128730877199,0.04080508502240976
mega,,in_sample,seed_bayesian_diagnosticity,seed,,Bayesian diagnosticity,5,-7281.776598682007,35.91400988178428,4,129.51411202647523,18.774873826980713,0.08685252549960347,False,11520,0.4693514859544829,0.22029081736768116,0.6565104166666667,0.11882143229025266,0.5629444532480643,-7274.6067515495315,0.0889608923247861
mega,,in_sample,seed_window_typicality,seed,,Window typicality,4,-7659.337152334881,25.04871727942923,6,507.0746656793484,32.999024805622106,0.03982769399814913,False,11520,0.485855894702139,0.23605595041681599,0.5946180555555556,0.05575980527379998,0.3104780043017854,-7657.283914698719,0.04103612152272773
mega,,in_sample,run1_minkowski_typicality,winner,1,Minkowski accumulated typicality (run 1),6,-7152.2624866555325,38.94840252854775,0,0.0,0.0,0.798199382962859,False,11520,0.4637062698809479,0.2150235047269025,0.6606770833333333,0.13989104864531798,0.66399310021066,-7146.026293686556,0.10506373191415685
mega,,in_sample,run2_evidence_accum_per_item,winner,2,"Evidence accumulation, per item (run 2)",7,-7180.348081601607,38.586315165278144,1,28.0855949460749,9.289478759099424,0.06278657925501119,False,11520,0.4646909543113539,0.2159376830187968,0.6611111111111111,0.13623427199203497,0.6512027369311064,-7173.77516915281,0.10158858726274567
mega,,in_sample,run2_evidence_accum_per_run,winner,2,"Evidence accumulation, per run (run 2, tied)",7,-7197.731998395146,38.078363042461504,2,45.469511739613566,9.391453982750802,0.0,False,11520,0.46552400844715514,0.21671260244070695,0.6598958333333333,0.13313454048961126,0.634951353471634,-7191.042617905103,0.09942608946178
mega,,in_sample,run3_bayes_artificial_balance,winner,3,Bayesian diagnosticity + artificial balance (run 3),6,-7254.343292045007,36.62027432220992,3,102.08080538947516,16.87197014041141,0.012333818311202968,False,11520,0.4681409400165306,0.21915593971956093,0.6511284722222223,0.1233610216950497,0.586489746298391,-7247.414884111098,0.09236627979014378
heldout,1,heldout_train,seed_prototype_similarity,seed,,Prototype similarity,4,-5011.561883441333,24.530848170337748,2,154.35012479416864,14.748722286684155,0.0,False,7680,0.4792691902542469,0.22969895672696153,0.619921875,0.08109941832613599,0.4199017187714581,-5005.797812840903,0.05957895586311657
heldout,1,heldout_oos,seed_prototype_similarity,seed,,Prototype similarity,4,,,,,,,,3840,0.46216641759276256,0.21359779755052777,0.6799479166666667,0.14462846454580147,0.5965128839314009,-2369.797275423257,0.10892599139292158
