sequence_a,sequence_b,chose_left_pct,n
HTHHTH,TTTHHH,0.6000,5
HTTTHH,HTHHTH,1.0000,5
HTTTHH,THTTHT,0.6000,5
HTTTHH,TTHTHT,0.8000,5
THTHTH,HHHHTH,0.8000,5
THTHTH,HHTHHH,0.4000,5
THTHTH,HTTTHH,0.4000,5
THTHTH,HTTTTH,0.6000,5
THTHTH,THHTTT,0.8000,5
THTHTH,THTTTT,0.4000,5
THTHTH,TTHHTT,0.8000,5
THTHTH,TTHTTT,0.8000,5
THTHTH,TTTHHT,0.8000,5
THTTTT,TTTHHH,0.2000,5
TTTHHH,HHHHTH,0.8000,5
TTTHHH,HHHTHH,0.8000,5
TTTHHH,HHTHHH,0.8000,5
TTTHHH,HTHHHT,0.8000,5
TTTHHH,HTTHTT,0.6000,5
TTTHHH,HTTTHT,0.8000,5
TTTHHH,THHHTH,0.8000,5
TTTHHH,THHTHH,0.4000,5
TTTHHH,THTTHT,0.6000,5
TTTHHH,THTTTH,0.6000,5
TTTHHH,TTHTHT,0.2000,5
TTTHHH,TTHTTT,0.8000,5
TTTHHH,TTTTHT,0.4000,5
TTTHTH,TTTHHH,0.4000,5
TTTHTT,THTHTH,0.0000,5
TTTHTT,TTTHHH,0.2000,5
