design,ground_truth,metric,n_repeats,mean,sd,values
32 EIG,falk_konold_dp,pearson_r,5,0.976158,0.004462,0.970382;0.981769;0.973431;0.978863;0.976344
32 EIG,finite_experience_occurrence,pearson_r,5,0.998171,0.003837,0.999961;0.991313;0.999941;0.999998;0.999644
32 EIG,local_representativeness,pearson_r,5,0.576426,0.155920,0.405550;0.405994;0.680070;0.692549;0.697968
32 EIG,motif_stack,pearson_r,5,0.767443,0.094561,0.623267;0.828814;0.717895;0.833947;0.833290
64 random,falk_konold_dp,pearson_r,5,0.988130,0.006788,0.984863;0.983389;0.987589;0.999966;0.984844
64 random,finite_experience_occurrence,pearson_r,5,0.975252,0.033988,0.999986;0.999605;0.944552;1.000000;0.932115
64 random,local_representativeness,pearson_r,5,0.726959,0.038962,0.688180;0.777861;0.699191;0.711500;0.758062
64 random,motif_stack,pearson_r,5,0.908142,0.061902,0.833537;0.953070;0.951818;0.847583;0.954702
64 random+EIG,falk_konold_dp,pearson_r,5,0.983615,0.010682,0.999936;0.971887;0.985022;0.984649;0.976582
64 random+EIG,finite_experience_occurrence,pearson_r,4,0.973755,0.030310,0.948470;0.999993;0.999998;0.946559
64 random+EIG,local_representativeness,pearson_r,5,0.716311,0.038329,0.671066;0.747521;0.763902;0.703237;0.695828
64 random+EIG,motif_stack,pearson_r,5,0.856710,0.046990,0.835014;0.838695;0.836274;0.940684;0.832882
64 EIG,falk_konold_dp,pearson_r,5,0.982921,0.023073,0.985116;0.985850;0.943732;0.999962;0.999948
64 EIG,finite_experience_occurrence,pearson_r,2,0.999946,0.000063,0.999991;0.999902
64 EIG,local_representativeness,pearson_r,4,0.663739,0.154122,0.690945;0.772352;0.753151;0.438508
64 EIG,motif_stack,pearson_r,5,0.881966,0.033622,0.834929;0.904367;0.908765;0.904197;0.857571
