mode,tau,mean_abs_dp,p95_abs_dp,max_abs_dp,flip_pct
both,0.05,0.0005320109684238448,0.005268528584694843,0.006718876195623835,0.15668202764976957
both,0.1,0.001971065178428265,0.01192954957743914,0.017259441091784233,0.18433179723502305
both,0.15,0.0041842229972028,0.01736213697476985,0.029390333820408787,0.1935483870967742
both,0.2,0.007025315768289156,0.026710147996595664,0.04256210985155506,0.2304147465437788
both,0.25,0.01047634662878802,0.039599323445640044,0.056678167533407375,0.30414746543778803
both,0.3,0.014528315364840986,0.05232126320669955,0.07163584238020348,0.6543778801843319
both,0.35,0.01915320097386799,0.0641310193289365,0.08872352222098323,1.2534562211981566
both,0.5,0.03585123864094737,0.1029579543713901,0.14723784427659903,2.672811059907834
both,0.7,0.06230618955684542,0.16179307965965845,0.2428843670402701,5.023041474654378
both,1.0,0.10632245284407289,0.2520617388013521,0.398520318052697,9.76958525345622
path-only,0.05,0.0005162185305557325,0.00526852863499111,0.006718876195623613,0.12903225806451613
path-only,0.1,0.0018685919434907456,0.011929550288412583,0.017259441091784233,0.15668202764976957
path-only,0.15,0.0039225095822777575,0.017386329740141485,0.029390333820408787,0.16589861751152074
path-only,0.2,0.0065573571132933346,0.026710147821762346,0.042562109851555285,0.18433179723502305
path-only,0.25,0.009794989408232735,0.0396866215524021,0.056678167533407375,0.23963133640552994
path-only,0.3,0.01365479843236508,0.05232157324769837,0.07163584238020348,0.6267281105990783
path-only,0.35,0.018131474350025135,0.06414898419110615,0.08872352222098323,1.2165898617511521
path-only,0.5,0.034797864122853885,0.101896276648485,0.14723784427659903,2.3317972350230414
path-only,0.7,0.06247238817060544,0.15960154835552892,0.2301663517721274,4.2949308755760365
path-only,1.0,0.1125895758434862,0.25357451896693056,0.35268712937367147,9.19815668202765
method-only,0.05,1.885252959783921e-05,7.633551017881269e-06,0.00655578607198537,0.34101382488479265
method-only,0.1,0.00013497661393491243,0.00041355463977776896,0.015313608974978465,0.35944700460829493
method-only,0.15,0.0003656739117199241,0.0020994698280836777,0.024967387353443005,0.2119815668202765
method-only,0.2,0.0007024194549280082,0.004982076815294723,0.03558297049638104,0.3778801843317972
method-only,0.25,0.0011299799700646021,0.008529537606737886,0.046950051011064864,0.4055299539170507
method-only,0.3,0.0016368400373825331,0.01248066763924538,0.058848088958235345,0.23963133640552994
method-only,0.35,0.002216126847559749,0.016693273152399504,0.07110722116869683,0.43317972350230416
method-only,0.5,0.004338739938953939,0.029140700451790957,0.1089640333953209,0.5622119815668203
method-only,0.7,0.007888659444569044,0.04887499874261303,0.15964813781868503,1.3732718894009217
method-only,1.0,0.014150044411095285,0.08120910659829436,0.23181791158810727,1.6682027649769586
