sequence_a,sequence_b,chose_left_pct,n
HTHH,HHHH,0.8000,5
HTHH,HTHT,0.6000,5
HTHH,HTTT,0.4000,5
HTHH,THHT,0.4000,5
HTHH,TTHH,0.4000,5
HTHH,TTHT,0.4000,5
THTH,HHHH,0.8000,5
THTH,HTHH,0.0000,5
THTH,HTHT,0.2000,5
THTH,HTTT,0.8000,5
THTH,THHT,1.0000,5
THTH,TTHH,0.6000,5
THTH,TTHT,0.2000,5
TTTH,HHHH,0.8000,5
TTTH,HTHH,0.4000,5
TTTH,HTHT,0.4000,5
TTTH,HTTT,0.2000,5
TTTH,THHT,0.2000,5
TTTH,THTH,0.4000,5
TTTH,TTHH,0.6000,5
TTTH,TTHT,0.6000,5
TTTT,HHHH,0.2000,5
TTTT,HTHH,0.0000,5
TTTT,HTHT,0.2000,5
TTTT,HTTT,0.2000,5
TTTT,THHT,1.0000,5
TTTT,THTH,0.4000,5
TTTT,TTHH,0.4000,5
TTTT,TTHT,0.2000,5
TTTT,TTTH,0.8000,5
