sequence_a,sequence_b,chose_left_pct,n
HTHH,HHHH,0.8000,5
HTHH,HTHT,0.6000,5
HTHH,HTTT,0.4000,5
HTHH,THHT,0.4000,5
HTHH,TTHH,0.4000,5
HTHH,TTHT,0.4000,5
HTTH,HHHH,0.8000,5
HTTH,HHHT,0.4000,5
HTTH,HHTT,1.0000,5
HTTH,THTH,0.2000,5
HTTH,TTHT,0.6000,5
THTH,HHHH,0.8000,10
THTH,HHHT,0.6000,5
THTH,HHTH,0.6000,5
THTH,HHTT,0.6000,5
THTH,HTHH,0.0000,5
THTH,HTHT,0.2000,5
THTH,HTTH,0.6000,5
THTH,HTTT,0.8000,5
THTH,THHH,0.6000,5
THTH,THHT,1.0000,5
THTH,TTHH,0.6000,10
THTH,TTHT,0.1000,10
THTH,TTTH,0.2000,5
THTT,HHHH,0.9000,10
THTT,HHHT,0.7000,10
THTT,HHTH,0.6000,10
THTT,HHTT,0.5000,10
THTT,HTHH,0.4000,5
THTT,HTTH,0.5000,10
THTT,THHH,0.6000,10
THTT,THHT,0.4000,5
THTT,THTH,0.3000,10
THTT,TTHH,0.8000,10
THTT,TTHT,0.7000,10
THTT,TTTH,0.7000,10
TTTH,HHHH,0.8000,5
TTTH,HTHH,0.4000,5
TTTH,HTHT,0.4000,5
TTTH,HTTT,0.2000,5
TTTH,THHT,0.2000,5
TTTH,THTH,0.4000,5
TTTH,TTHH,0.6000,5
TTTH,TTHT,0.6000,5
TTTT,HHHH,0.2000,15
TTTT,HHHT,0.2000,10
TTTT,HHTH,0.1000,10
TTTT,HHTT,0.3000,10
TTTT,HTHH,0.1000,10
TTTT,HTHT,0.2000,5
TTTT,HTTH,0.5000,10
TTTT,HTTT,0.2000,5
TTTT,THHH,0.4000,10
TTTT,THHT,0.6000,10
TTTT,THTH,0.2667,15
TTTT,THTT,0.4000,10
TTTT,TTHH,0.4667,15
TTTT,TTHT,0.4000,15
TTTT,TTTH,0.4000,15
