model,parameter,repeat,true_value,estimate,error
bayesian_diagnosticity,alt_prior,0,0.4,0.331856,-0.06814400000000004
bayesian_diagnosticity,bias_share,0,0.45,0.446506,-0.003493999999999997
bayesian_diagnosticity,beta,0,4.0,5.148244,1.148244
bayesian_diagnosticity,side_bias,0,0.0,-0.118215,-0.118215
bayesian_diagnosticity,alt_prior,1,0.4,0.38207,-0.01793
bayesian_diagnosticity,bias_share,1,0.45,0.520342,0.07034199999999996
bayesian_diagnosticity,beta,1,4.0,5.080226,1.0802259999999997
bayesian_diagnosticity,side_bias,1,0.0,-0.093516,-0.093516
bayesian_diagnosticity,alt_prior,2,0.4,0.422055,0.02205499999999999
bayesian_diagnosticity,bias_share,2,0.45,0.547647,0.09764699999999998
bayesian_diagnosticity,beta,2,4.0,4.164809,0.16480899999999998
bayesian_diagnosticity,side_bias,2,0.0,0.146709,0.146709
bayesian_diagnosticity,alt_prior,3,0.4,0.434287,0.034286999999999956
bayesian_diagnosticity,bias_share,3,0.45,0.534874,0.08487399999999995
bayesian_diagnosticity,beta,3,4.0,4.1687,0.1687000000000003
bayesian_diagnosticity,side_bias,3,0.0,0.248358,0.248358
bayesian_diagnosticity,alt_prior,4,0.4,0.383598,-0.016402000000000028
bayesian_diagnosticity,bias_share,4,0.45,0.561795,0.11179500000000003
bayesian_diagnosticity,beta,4,4.0,4.529301,0.5293010000000002
bayesian_diagnosticity,side_bias,4,0.0,-0.119143,-0.119143
bayesian_diagnosticity,alt_prior,5,0.4,0.362324,-0.03767600000000004
bayesian_diagnosticity,bias_share,5,0.45,0.509665,0.059665000000000024
bayesian_diagnosticity,beta,5,4.0,5.085666,1.0856659999999998
bayesian_diagnosticity,side_bias,5,0.0,0.02038,0.02038
bayesian_diagnosticity,alt_prior,6,0.4,0.360474,-0.039526000000000006
bayesian_diagnosticity,bias_share,6,0.45,0.576754,0.12675399999999998
bayesian_diagnosticity,beta,6,4.0,5.235357,1.2353569999999996
bayesian_diagnosticity,side_bias,6,0.0,0.085263,0.085263
bayesian_diagnosticity,alt_prior,7,0.4,0.421398,0.021397999999999973
bayesian_diagnosticity,bias_share,7,0.45,0.460552,0.010552000000000006
bayesian_diagnosticity,beta,7,4.0,4.590512,0.5905120000000004
bayesian_diagnosticity,side_bias,7,0.0,0.210017,0.210017
bayesian_diagnosticity,alt_prior,8,0.4,0.426833,0.026832999999999996
bayesian_diagnosticity,bias_share,8,0.45,0.548654,0.09865399999999996
bayesian_diagnosticity,beta,8,4.0,3.84851,-0.1514899999999999
bayesian_diagnosticity,side_bias,8,0.0,0.039926,0.039926
bayesian_diagnosticity,alt_prior,9,0.4,0.311085,-0.08891500000000002
bayesian_diagnosticity,bias_share,9,0.45,0.501029,0.051028999999999936
bayesian_diagnosticity,beta,9,4.0,5.668119,1.668119
bayesian_diagnosticity,side_bias,9,0.0,-0.225932,-0.225932
bayesian_diagnosticity,alt_prior,10,0.4,0.350364,-0.04963600000000001
bayesian_diagnosticity,bias_share,10,0.45,0.517345,0.06734500000000004
bayesian_diagnosticity,beta,10,4.0,5.275608,1.275608
bayesian_diagnosticity,side_bias,10,0.0,0.040179,0.040179
bayesian_diagnosticity,alt_prior,11,0.4,0.45439,0.054389999999999994
bayesian_diagnosticity,bias_share,11,0.45,0.618113,0.168113
bayesian_diagnosticity,beta,11,4.0,3.008626,-0.991374
bayesian_diagnosticity,side_bias,11,0.0,-0.446543,-0.446543
bayesian_diagnosticity,alt_prior,12,0.4,0.367808,-0.032192
bayesian_diagnosticity,bias_share,12,0.45,0.500209,0.050209000000000004
bayesian_diagnosticity,beta,12,4.0,4.372134,0.37213399999999996
bayesian_diagnosticity,side_bias,12,0.0,-0.237414,-0.237414
bayesian_diagnosticity,alt_prior,13,0.4,0.329805,-0.07019500000000001
bayesian_diagnosticity,bias_share,13,0.45,0.469331,0.019330999999999987
bayesian_diagnosticity,beta,13,4.0,5.091583,1.091583
bayesian_diagnosticity,side_bias,13,0.0,-0.205901,-0.205901
bayesian_diagnosticity,alt_prior,14,0.4,0.320634,-0.07936600000000005
bayesian_diagnosticity,bias_share,14,0.45,0.464949,0.01494899999999999
bayesian_diagnosticity,beta,14,4.0,5.347498,1.3474979999999999
bayesian_diagnosticity,side_bias,14,0.0,-0.42704,-0.42704
bayesian_diagnosticity,alt_prior,15,0.4,0.355193,-0.04480700000000004
bayesian_diagnosticity,bias_share,15,0.45,0.431344,-0.018656000000000006
bayesian_diagnosticity,beta,15,4.0,5.23422,1.2342199999999997
bayesian_diagnosticity,side_bias,15,0.0,0.021923,0.021923
bayesian_diagnosticity,alt_prior,16,0.4,0.380106,-0.019894000000000023
bayesian_diagnosticity,bias_share,16,0.45,0.501716,0.05171600000000004
bayesian_diagnosticity,beta,16,4.0,5.05515,1.0551500000000003
bayesian_diagnosticity,side_bias,16,0.0,0.188326,0.188326
bayesian_diagnosticity,alt_prior,17,0.4,0.400445,0.0004449999999999732
bayesian_diagnosticity,bias_share,17,0.45,0.584818,0.13481799999999994
bayesian_diagnosticity,beta,17,4.0,4.504598,0.5045979999999997
bayesian_diagnosticity,side_bias,17,0.0,0.327718,0.327718
bayesian_diagnosticity,alt_prior,18,0.4,0.365053,-0.034947000000000006
bayesian_diagnosticity,bias_share,18,0.45,0.547347,0.09734700000000002
bayesian_diagnosticity,beta,18,4.0,5.375373,1.3753729999999997
bayesian_diagnosticity,side_bias,18,0.0,0.077095,0.077095
bayesian_diagnosticity,alt_prior,19,0.4,0.42574,0.025739999999999985
bayesian_diagnosticity,bias_share,19,0.45,0.422259,-0.027741000000000016
bayesian_diagnosticity,beta,19,4.0,3.911742,-0.08825800000000017
bayesian_diagnosticity,side_bias,19,0.0,0.167977,0.167977
