model,parameter,repeat,true_value,estimate,error
prototype_similarity,theta_alt,0,0.783397,0.8117,0.028302999999999967
prototype_similarity,alt_weight,0,0.270864,0.247926,-0.022937999999999986
prototype_similarity,beta,0,11.460132,12.0,0.5398680000000002
prototype_similarity,side_bias,0,-1.866245,-1.937648,-0.0714030000000001
prototype_similarity,theta_alt,1,0.520833,0.367353,-0.15348
prototype_similarity,alt_weight,1,0.456589,0.638948,0.18235899999999994
prototype_similarity,beta,1,4.237372,1.731157,-2.5062149999999996
prototype_similarity,side_bias,1,0.159748,0.075887,-0.083861
prototype_similarity,theta_alt,2,0.532372,0.5,-0.032371999999999956
prototype_similarity,alt_weight,2,0.618027,0.394278,-0.22374899999999998
prototype_similarity,beta,2,7.599921,9.889074,2.2891530000000007
prototype_similarity,side_bias,2,-1.642313,-2.0,-0.3576870000000001
prototype_similarity,theta_alt,3,0.895211,0.894775,-0.00043599999999999195
prototype_similarity,alt_weight,3,0.32886,0.310837,-0.01802300000000001
prototype_similarity,beta,3,8.895197,8.31286,-0.582336999999999
prototype_similarity,side_bias,3,-0.704655,-0.675351,0.029303999999999997
prototype_similarity,theta_alt,4,0.894006,0.881024,-0.012981999999999938
prototype_similarity,alt_weight,4,0.735304,0.71336,-0.021943999999999964
prototype_similarity,beta,4,9.487338,10.787518,1.300180000000001
prototype_similarity,side_bias,4,-1.744625,-1.901943,-0.15731799999999985
prototype_similarity,theta_alt,5,0.423649,0.377335,-0.04631400000000002
prototype_similarity,alt_weight,5,0.322145,0.615672,0.293527
prototype_similarity,beta,5,3.760721,4.013356,0.2526349999999997
prototype_similarity,side_bias,5,1.352128,2.0,0.647872
prototype_similarity,theta_alt,6,0.388375,0.35,-0.03837500000000005
prototype_similarity,alt_weight,6,0.55417,0.592588,0.03841799999999995
prototype_similarity,beta,6,11.606582,10.966672,-0.6399099999999986
prototype_similarity,side_bias,6,1.809474,2.0,0.19052599999999997
prototype_similarity,theta_alt,7,0.803326,0.819839,0.016513
prototype_similarity,alt_weight,7,0.793909,0.99,0.19609100000000002
prototype_similarity,beta,7,4.925288,2.886935,-2.0383530000000003
prototype_similarity,side_bias,7,-1.191642,-0.997676,0.19396600000000008
prototype_similarity,theta_alt,8,0.47782,0.567175,0.08935499999999996
prototype_similarity,alt_weight,8,0.276947,0.434918,0.15797100000000003
prototype_similarity,beta,8,5.003336,4.710875,-0.2924610000000003
prototype_similarity,side_bias,8,-0.440438,-0.687403,-0.246965
prototype_similarity,theta_alt,9,0.615833,0.627798,0.011965000000000003
prototype_similarity,alt_weight,9,0.731879,0.956343,0.2244640000000001
