model,parameter,repeat,true_value,estimate,error
bayesian_diagnosticity,alt_prior,0,0.529724,0.790444,0.26072000000000006
bayesian_diagnosticity,bias_share,0,0.939669,0.530872,-0.40879699999999997
bayesian_diagnosticity,beta,0,9.561908,9.266683,-0.2952250000000003
bayesian_diagnosticity,side_bias,0,0.030323,-0.156103,-0.18642599999999998
bayesian_diagnosticity,alt_prior,1,0.446928,0.411131,-0.03579699999999997
bayesian_diagnosticity,bias_share,1,0.506655,0.524419,0.017764000000000002
bayesian_diagnosticity,beta,1,4.637769,5.919795,1.282026
bayesian_diagnosticity,side_bias,1,0.351361,0.189591,-0.16176999999999997
bayesian_diagnosticity,alt_prior,2,0.184674,0.129437,-0.05523700000000001
bayesian_diagnosticity,bias_share,2,0.03272,0.315269,0.28254900000000005
bayesian_diagnosticity,beta,2,6.311034,8.153902,1.8428680000000002
bayesian_diagnosticity,side_bias,2,1.533978,1.412681,-0.12129699999999999
bayesian_diagnosticity,alt_prior,3,0.497223,0.75236,0.255137
bayesian_diagnosticity,bias_share,3,0.698006,0.599479,-0.09852700000000003
bayesian_diagnosticity,beta,3,2.116814,1.525782,-0.5910320000000002
bayesian_diagnosticity,side_bias,3,-0.169157,-0.084265,0.084892
bayesian_diagnosticity,alt_prior,4,0.754422,0.78761,0.033187999999999995
bayesian_diagnosticity,bias_share,4,0.099608,0.528423,0.42881499999999995
bayesian_diagnosticity,beta,4,7.292856,9.236104,1.9432479999999996
bayesian_diagnosticity,side_bias,4,-1.548603,-0.158792,1.389811
bayesian_diagnosticity,alt_prior,5,0.865306,0.704092,-0.16121399999999997
bayesian_diagnosticity,bias_share,5,0.832348,0.60987,-0.22247799999999995
bayesian_diagnosticity,beta,5,3.17306,4.293955,1.1208950000000004
bayesian_diagnosticity,side_bias,5,-1.058799,-1.112137,-0.053337999999999886
bayesian_diagnosticity,alt_prior,6,0.807119,0.646304,-0.16081500000000004
bayesian_diagnosticity,bias_share,6,0.075474,0.572931,0.497457
bayesian_diagnosticity,beta,6,5.80394,5.935768,0.1318280000000005
bayesian_diagnosticity,side_bias,6,0.032463,-0.961089,-0.993552
bayesian_diagnosticity,alt_prior,7,0.485189,0.603572,0.11838300000000002
bayesian_diagnosticity,bias_share,7,0.825435,0.652792,-0.172643
bayesian_diagnosticity,beta,7,1.562033,1.721789,0.159756
bayesian_diagnosticity,side_bias,7,-0.742294,-0.86224,-0.119946
bayesian_diagnosticity,alt_prior,8,0.587547,0.454011,-0.13353600000000004
bayesian_diagnosticity,bias_share,8,0.235961,0.52497,0.28900900000000007
bayesian_diagnosticity,beta,8,4.103252,5.565186,1.4619339999999994
bayesian_diagnosticity,side_bias,8,0.301144,0.172057,-0.12908700000000004
bayesian_diagnosticity,alt_prior,9,0.384671,0.484576,0.09990500000000002
bayesian_diagnosticity,bias_share,9,0.663106,0.581329,-0.08177699999999999
bayesian_diagnosticity,beta,9,6.056472,4.92261,-1.1338620000000006
bayesian_diagnosticity,side_bias,9,-1.764066,-1.68297,0.08109599999999983
bayesian_diagnosticity,alt_prior,10,0.045557,0.053753,0.008196000000000002
bayesian_diagnosticity,bias_share,10,0.269116,0.294588,0.025471999999999995
bayesian_diagnosticity,beta,10,5.770265,6.333705,0.5634399999999999
bayesian_diagnosticity,side_bias,10,1.423827,1.697529,0.2737020000000001
bayesian_diagnosticity,alt_prior,11,0.838477,0.785101,-0.05337599999999998
bayesian_diagnosticity,bias_share,11,0.271823,0.540338,0.268515
bayesian_diagnosticity,beta,11,5.3144,9.320442,4.006042
bayesian_diagnosticity,side_bias,11,-0.301499,-0.167157,0.13434200000000002
bayesian_diagnosticity,alt_prior,12,0.589891,0.483039,-0.10685200000000006
bayesian_diagnosticity,bias_share,12,0.669176,0.63754,-0.031636
bayesian_diagnosticity,beta,12,0.532396,1.342917,0.8105209999999999
bayesian_diagnosticity,side_bias,12,-0.087075,-0.126959,-0.03988399999999999
bayesian_diagnosticity,alt_prior,13,0.876742,0.762191,-0.11455100000000007
bayesian_diagnosticity,bias_share,13,0.173296,0.626165,0.45286899999999997
bayesian_diagnosticity,beta,13,3.759432,4.422638,0.6632060000000002
