model,parameter,repeat,true_value,estimate,error
prototype_similarity,theta_alt,0,0.783397,0.817543,0.03414600000000001
prototype_similarity,alt_weight,0,0.270864,0.207224,-0.06364
prototype_similarity,beta,0,11.460132,9.35803,-2.1021020000000004
prototype_similarity,side_bias,0,-1.866245,-1.750193,0.11605199999999982
prototype_similarity,theta_alt,1,0.520833,0.437958,-0.08287499999999998
prototype_similarity,alt_weight,1,0.456589,0.56007,0.10348099999999993
prototype_similarity,beta,1,4.237372,2.188218,-2.0491539999999997
prototype_similarity,side_bias,1,0.159748,0.031245,-0.128503
prototype_similarity,theta_alt,2,0.532372,0.477327,-0.055044999999999955
prototype_similarity,alt_weight,2,0.618027,0.416821,-0.201206
prototype_similarity,beta,2,7.599921,9.210555,1.6106339999999992
prototype_similarity,side_bias,2,-1.642313,-1.874371,-0.2320580000000001
prototype_similarity,theta_alt,3,0.895211,0.893576,-0.001634999999999942
prototype_similarity,alt_weight,3,0.32886,0.314524,-0.01433599999999996
prototype_similarity,beta,3,8.895197,7.954095,-0.9411019999999999
prototype_similarity,side_bias,3,-0.704655,-0.641196,0.06345900000000004
prototype_similarity,theta_alt,4,0.894006,0.87671,-0.017295999999999978
prototype_similarity,alt_weight,4,0.735304,0.762022,0.02671800000000002
prototype_similarity,beta,4,9.487338,9.4831,-0.004237999999999076
prototype_similarity,side_bias,4,-1.744625,-1.653425,0.09120000000000017
prototype_similarity,theta_alt,5,0.423649,0.400944,-0.022704999999999975
prototype_similarity,alt_weight,5,0.322145,0.62096,0.29881499999999994
prototype_similarity,beta,5,3.760721,3.684749,-0.07597200000000015
prototype_similarity,side_bias,5,1.352128,1.805074,0.45294600000000007
prototype_similarity,theta_alt,6,0.388375,0.366501,-0.021874000000000005
prototype_similarity,alt_weight,6,0.55417,0.578726,0.02455599999999991
prototype_similarity,beta,6,11.606582,10.178867,-1.4277149999999992
prototype_similarity,side_bias,6,1.809474,1.584411,-0.225063
prototype_similarity,theta_alt,7,0.803326,0.833454,0.030128000000000044
prototype_similarity,alt_weight,7,0.793909,0.848342,0.054433000000000065
prototype_similarity,beta,7,4.925288,3.524961,-1.4003270000000003
prototype_similarity,side_bias,7,-1.191642,-1.033238,0.158404
prototype_similarity,theta_alt,8,0.47782,0.537263,0.059443000000000024
prototype_similarity,alt_weight,8,0.276947,0.469395,0.192448
prototype_similarity,beta,8,5.003336,4.304222,-0.6991139999999998
prototype_similarity,side_bias,8,-0.440438,-0.678029,-0.237591
prototype_similarity,theta_alt,9,0.615833,0.627945,0.012112000000000012
prototype_similarity,alt_weight,9,0.731879,0.864827,0.13294800000000007
prototype_similarity,beta,9,7.282279,6.765701,-0.516578
prototype_similarity,side_bias,9,1.440036,1.292606,-0.14743000000000017
prototype_similarity,theta_alt,10,0.392124,0.40191,0.009786000000000017
prototype_similarity,alt_weight,10,0.169048,0.162945,-0.006102999999999997
prototype_similarity,beta,10,8.040784,8.592892,0.5521080000000005
prototype_similarity,side_bias,10,-0.534822,-0.631209,-0.096387
prototype_similarity,theta_alt,11,0.54193,0.52303,-0.018900000000000028
prototype_similarity,alt_weight,11,0.47607,0.510811,0.03474100000000002
prototype_similarity,beta,11,9.970723,9.777334,-0.1933889999999998
prototype_similarity,side_bias,11,1.334505,1.60893,0.2744249999999999
prototype_similarity,theta_alt,12,0.825823,0.818768,-0.0070549999999999224
prototype_similarity,alt_weight,12,0.497116,0.522802,0.025685999999999987
prototype_similarity,beta,12,11.489211,10.30666,-1.1825509999999984
prototype_similarity,side_bias,12,1.58209,1.475895,-0.10619500000000004
prototype_similarity,theta_alt,13,0.356404,0.402576,0.04617199999999999
prototype_similarity,alt_weight,13,0.767701,0.723032,-0.04466899999999996
prototype_similarity,beta,13,7.04148,10.004929,2.9634490000000007
prototype_similarity,side_bias,13,-1.262825,-1.534946,-0.27212099999999984
prototype_similarity,theta_alt,14,0.885709,0.659112,-0.22659699999999994
prototype_similarity,alt_weight,14,0.353005,0.219309,-0.133696
prototype_similarity,beta,14,1.380446,2.406636,1.0261900000000002
prototype_similarity,side_bias,14,-1.902325,-1.758525,0.14380000000000015
prototype_similarity,theta_alt,15,0.663283,0.68814,0.024857000000000018
prototype_similarity,alt_weight,15,0.771916,0.749651,-0.02226500000000009
prototype_similarity,beta,15,2.394474,1.597903,-0.7965710000000001
prototype_similarity,side_bias,15,1.394617,1.148653,-0.24596400000000007
prototype_similarity,theta_alt,16,0.873224,0.834312,-0.03891199999999995
prototype_similarity,alt_weight,16,0.525231,0.535449,0.01021799999999995
prototype_similarity,beta,16,9.445106,10.118423,0.6733170000000008
prototype_similarity,side_bias,16,-1.680095,-1.421194,0.2589009999999998
prototype_similarity,theta_alt,17,0.360245,0.484787,0.12454200000000004
prototype_similarity,alt_weight,17,0.070407,0.10664,0.036233
prototype_similarity,beta,17,6.346308,6.498636,0.15232800000000069
prototype_similarity,side_bias,17,0.781769,0.756985,-0.024784000000000028
prototype_similarity,theta_alt,18,0.894933,0.593377,-0.30155599999999994
prototype_similarity,alt_weight,18,0.809284,0.253267,-0.556017
prototype_similarity,beta,18,0.276047,1.540394,1.264347
prototype_similarity,side_bias,18,-1.162998,-1.044635,0.118363
prototype_similarity,theta_alt,19,0.710362,0.708703,-0.001659000000000077
prototype_similarity,alt_weight,19,0.753591,0.826609,0.07301800000000003
prototype_similarity,beta,19,10.94667,10.578914,-0.36775599999999997
prototype_similarity,side_bias,19,0.026087,0.12244,0.096353
prototype_similarity,theta_alt,20,0.375607,0.405668,0.03006099999999995
prototype_similarity,alt_weight,20,0.231228,0.202763,-0.02846499999999999
prototype_similarity,beta,20,8.181501,8.495054,0.31355299999999886
prototype_similarity,side_bias,20,1.25619,1.142398,-0.1137919999999999
prototype_similarity,theta_alt,21,0.561166,0.65249,0.09132399999999996
prototype_similarity,alt_weight,21,0.406014,0.401587,-0.004426999999999959
prototype_similarity,beta,21,1.416819,1.156531,-0.2602880000000001
prototype_similarity,side_bias,21,1.502196,1.402161,-0.1000350000000001
prototype_similarity,theta_alt,22,0.484717,0.422879,-0.061838000000000004
prototype_similarity,alt_weight,22,0.407256,0.375357,-0.03189900000000001
prototype_similarity,beta,22,6.004895,6.558497,0.5536019999999997
prototype_similarity,side_bias,22,-1.957629,-1.843749,0.11387999999999998
prototype_similarity,theta_alt,23,0.674117,0.633809,-0.04030800000000001
prototype_similarity,alt_weight,23,0.484723,0.523043,0.03832000000000002
prototype_similarity,beta,23,9.1365,7.589093,-1.5474069999999998
prototype_similarity,side_bias,23,0.038995,0.397756,0.358761
prototype_similarity,theta_alt,24,0.451053,0.473685,0.02263200000000004
prototype_similarity,alt_weight,24,0.842572,0.702612,-0.13995999999999997
prototype_similarity,beta,24,0.762514,2.171612,1.4090980000000002
prototype_similarity,side_bias,24,0.860626,1.139982,0.27935600000000005
prototype_similarity,theta_alt,25,0.887316,0.8604,-0.02691599999999994
prototype_similarity,alt_weight,25,0.871085,0.844741,-0.026344000000000034
prototype_similarity,beta,25,6.325743,7.770835,1.4450919999999998
prototype_similarity,side_bias,25,-0.794946,-0.738094,0.056852000000000014
prototype_similarity,theta_alt,26,0.835531,0.869442,0.033911000000000024
prototype_similarity,alt_weight,26,0.749495,0.566619,-0.18287600000000004
prototype_similarity,beta,26,1.836849,2.952724,1.115875
prototype_similarity,side_bias,26,0.758511,0.601777,-0.15673400000000004
prototype_similarity,theta_alt,27,0.441681,0.544541,0.10286000000000006
prototype_similarity,alt_weight,27,0.129546,0.192108,0.062562
prototype_similarity,beta,27,5.732876,6.770869,1.0379930000000002
prototype_similarity,side_bias,27,-0.487208,-0.378488,0.10871999999999998
prototype_similarity,theta_alt,28,0.615711,0.668554,0.05284299999999997
prototype_similarity,alt_weight,28,0.103882,0.046823,-0.057059000000000006
prototype_similarity,beta,28,7.24897,7.037504,-0.2114659999999997
prototype_similarity,side_bias,28,-0.006399,-0.166297,-0.159898
prototype_similarity,theta_alt,29,0.855117,0.816561,-0.038556000000000035
prototype_similarity,alt_weight,29,0.499318,0.633863,0.13454499999999997
prototype_similarity,beta,29,7.276424,7.100379,-0.17604499999999934
prototype_similarity,side_bias,29,-0.107591,-0.1355,-0.027909000000000003
prototype_similarity,theta_alt,30,0.675828,0.661959,-0.01386900000000002
prototype_similarity,alt_weight,30,0.691422,0.818258,0.12683600000000006
prototype_similarity,beta,30,10.643865,8.282052,-2.3618129999999997
prototype_similarity,side_bias,30,-0.206995,-0.111841,0.09515400000000002
prototype_similarity,theta_alt,31,0.607516,0.577943,-0.02957299999999996
prototype_similarity,alt_weight,31,0.537311,0.592555,0.05524400000000007
prototype_similarity,beta,31,11.882464,9.942265,-1.9401989999999998
prototype_similarity,side_bias,31,-0.087079,0.068282,0.155361
prototype_similarity,theta_alt,32,0.849872,0.856048,0.00617600000000007
prototype_similarity,alt_weight,32,0.652526,0.507058,-0.14546800000000004
prototype_similarity,beta,32,2.624481,2.132356,-0.4921249999999997
prototype_similarity,side_bias,32,1.574294,1.725628,0.15133399999999986
prototype_similarity,theta_alt,33,0.8597,0.812902,-0.046798000000000006
prototype_similarity,alt_weight,33,0.14206,0.135668,-0.006391999999999981
prototype_similarity,beta,33,10.232651,9.723091,-0.5095600000000005
prototype_similarity,side_bias,33,-1.475735,-1.448364,0.027371000000000034
prototype_similarity,theta_alt,34,0.477828,0.535474,0.05764600000000003
prototype_similarity,alt_weight,34,0.423171,0.419419,-0.003752000000000033
prototype_similarity,beta,34,8.914092,8.805387,-0.1087050000000005
prototype_similarity,side_bias,34,1.207017,0.775312,-0.431705
prototype_similarity,theta_alt,35,0.633473,0.686145,0.05267200000000005
prototype_similarity,alt_weight,35,0.629751,0.543389,-0.08636199999999994
prototype_similarity,beta,35,1.496277,2.59676,1.100483
prototype_similarity,side_bias,35,-0.459159,-0.649021,-0.18986199999999998
prototype_similarity,theta_alt,36,0.625264,0.716596,0.09133199999999997
prototype_similarity,alt_weight,36,0.775741,0.589315,-0.18642599999999998
prototype_similarity,beta,36,1.361729,1.035092,-0.32663700000000007
prototype_similarity,side_bias,36,0.439447,0.238394,-0.20105299999999998
prototype_similarity,theta_alt,37,0.606405,0.590814,-0.015591000000000022
prototype_similarity,alt_weight,37,0.813192,0.811029,-0.002163000000000026
prototype_similarity,beta,37,7.934043,6.804984,-1.1290589999999998
prototype_similarity,side_bias,37,-1.781192,-1.577734,0.20345800000000014
prototype_similarity,theta_alt,38,0.728996,0.699445,-0.029550999999999994
prototype_similarity,alt_weight,38,0.476883,0.55068,0.07379699999999995
prototype_similarity,beta,38,9.843955,5.99389,-3.850064999999999
prototype_similarity,side_bias,38,-1.408422,-1.280028,0.12839400000000012
prototype_similarity,theta_alt,39,0.759484,0.78403,0.024545999999999957
prototype_similarity,alt_weight,39,0.293006,0.479058,0.186052
prototype_similarity,beta,39,1.909842,1.439447,-0.4703950000000001
prototype_similarity,side_bias,39,0.578943,0.495305,-0.08363799999999999
