sequence_a,sequence_b,chose_left_pct,n
HTTH,HHHH,0.8000,5
HTTH,HHHT,0.4000,5
HTTH,HHTT,1.0000,5
HTTH,THTH,0.2000,5
HTTH,TTHT,0.6000,5
THTT,HHHH,0.8000,5
THTT,HHHT,0.6000,5
THTT,HHTH,0.4000,5
THTT,HHTT,0.4000,5
THTT,HTHH,0.4000,5
THTT,HTTH,0.4000,5
THTT,THHH,0.6000,5
THTT,THHT,0.4000,5
THTT,THTH,0.4000,5
THTT,TTHH,1.0000,5
THTT,TTHT,0.6000,5
THTT,TTTH,0.6000,5
TTTT,HHHH,0.2000,5
TTTT,HHHT,0.2000,5
TTTT,HHTH,0.2000,5
TTTT,HHTT,0.0000,5
TTTT,HTHH,0.2000,5
TTTT,HTTH,0.4000,5
TTTT,THHH,0.2000,5
TTTT,THHT,0.2000,5
TTTT,THTH,0.2000,5
TTTT,THTT,0.6000,5
TTTT,TTHH,0.6000,5
TTTT,TTHT,0.4000,5
TTTT,TTTH,0.4000,5
